"","Country","iso3c","COWcode","Year","Electoral","Liberal","Participatory","Deliberative","Egalitarian"
"1","Mexico","MEX",70,1789,0.026,0.041,0.007,NA,NA
"2","Mexico","MEX",70,1790,0.026,0.041,0.007,NA,NA
"3","Mexico","MEX",70,1791,0.026,0.041,0.007,NA,NA
"4","Mexico","MEX",70,1792,0.026,0.041,0.007,NA,NA
"5","Mexico","MEX",70,1793,0.026,0.041,0.007,NA,NA
"6","Mexico","MEX",70,1794,0.026,0.041,0.007,NA,NA
"7","Mexico","MEX",70,1795,0.026,0.041,0.007,NA,NA
"8","Mexico","MEX",70,1796,0.026,0.041,0.007,NA,NA
"9","Mexico","MEX",70,1797,0.026,0.041,0.007,NA,NA
"10","Mexico","MEX",70,1798,0.026,0.041,0.007,NA,NA
"11","Mexico","MEX",70,1799,0.026,0.041,0.007,NA,NA
"12","Mexico","MEX",70,1800,0.026,0.041,0.007,NA,NA
"13","Mexico","MEX",70,1801,0.026,0.041,0.007,NA,NA
"14","Mexico","MEX",70,1802,0.026,0.041,0.007,NA,NA
"15","Mexico","MEX",70,1803,0.026,0.041,0.007,NA,NA
"16","Mexico","MEX",70,1804,0.026,0.041,0.007,NA,NA
"17","Mexico","MEX",70,1805,0.026,0.041,0.007,NA,NA
"18","Mexico","MEX",70,1806,0.026,0.041,0.007,NA,NA
"19","Mexico","MEX",70,1807,0.026,0.041,0.007,NA,NA
"20","Mexico","MEX",70,1808,0.026,0.041,0.007,NA,NA
"21","Mexico","MEX",70,1809,0.026,0.045,0.007,NA,NA
"22","Mexico","MEX",70,1810,0.029,0.044,0.007,NA,NA
"23","Mexico","MEX",70,1811,0.029,0.044,0.007,NA,NA
"24","Mexico","MEX",70,1812,0.036,0.045,0.007,NA,NA
"25","Mexico","MEX",70,1813,0.053,0.048,0.009,NA,NA
"26","Mexico","MEX",70,1814,0.053,0.048,0.009,NA,NA
"27","Mexico","MEX",70,1815,0.053,0.048,0.009,NA,NA
"28","Mexico","MEX",70,1816,0.039,0.046,0.008,NA,NA
"29","Mexico","MEX",70,1817,0.039,0.046,0.008,NA,NA
"30","Mexico","MEX",70,1818,0.039,0.046,0.008,NA,NA
"31","Mexico","MEX",70,1819,0.039,0.046,0.008,NA,NA
"32","Mexico","MEX",70,1820,0.047,0.041,0.008,NA,NA
"33","Mexico","MEX",70,1821,0.092,0.033,0.026,NA,NA
"34","Mexico","MEX",70,1822,0.15,0.103,0.075,NA,NA
"35","Mexico","MEX",70,1823,0.177,0.11,0.081,NA,NA
"36","Mexico","MEX",70,1824,0.181,0.123,0.09,NA,NA
"37","Mexico","MEX",70,1825,0.181,0.129,0.129,NA,NA
"38","Mexico","MEX",70,1826,0.181,0.129,0.129,NA,NA
"39","Mexico","MEX",70,1827,0.181,0.129,0.129,NA,NA
"40","Mexico","MEX",70,1828,0.181,0.129,0.129,NA,NA
"41","Mexico","MEX",70,1829,0.181,0.129,0.129,NA,NA
"42","Mexico","MEX",70,1830,0.15,0.115,0.121,NA,NA
"43","Mexico","MEX",70,1831,0.15,0.115,0.121,NA,NA
"44","Mexico","MEX",70,1832,0.162,0.118,0.124,NA,NA
"45","Mexico","MEX",70,1833,0.181,0.123,0.129,NA,NA
"46","Mexico","MEX",70,1834,0.181,0.123,0.129,NA,NA
